Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D||
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.5935226857,-99.2417925596
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.5982327523,-99.2437559366
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6003855908,-99.2429405451
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6009819119,-99.2426294088
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6013154465,-99.2420607805
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6017298369,-99.2411917448
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6019117641,-99.2406874895
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6018410147,-99.2400437593
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.6021846545,-99.2391318083
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.5893077669,-99.2365676165
Alcanfores-X-Cerezos-Metro-Politecnico-X-Pista-%5BAutobuses-Mexico-Tlalnepantla%5D|vuelta|19.589156149,-99.2363208532
